         2623842 function calls (2574019 primitive calls) in 3.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.556    3.556 /home/xingminw/Documents/plymouth-traffic-env/env_test.py:16(run_env)
      119    0.001    0.000    3.064    0.026 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:151(step)
      120    0.000    0.000    2.964    0.025 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:30(_load_system_state)
      120    0.003    0.000    2.349    0.020 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:48(particle_filter)
     4320    0.021    0.000    2.181    0.001 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:452(particle_forward)
     1440    0.088    0.000    1.551    0.001 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:533(step)
    29810    0.145    0.000    1.379    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/car_following.py:36(sample_next_locations)
    29810    0.038    0.000    1.092    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/car_following.py:31(_get_speed_list)
97149/76941    0.078    0.000    0.876    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    29810    0.182    0.000    0.741    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/car_following.py:33(<listcomp>)
      120    0.175    0.001    0.615    0.005 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:721(_load_system_state)
     3892    0.030    0.000    0.603    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/particle.py:628(generate_new_arrival)
   338808    0.559    0.000    0.559    0.000 /home/xingminw/Documents/plymouth-traffic-env/estimation/car_following.py:14(_get_mean)
     7904    0.122    0.000    0.550    0.000 /home/xingminw/Anaconda3/envs/traffic-env/lib/python3.8/site-packages/scipy/stats/_distn_infrastructure.py:945(rvs)
        1    0.000    0.000    0.383    0.383 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:170(reset)
        1    0.002    0.002    0.369    0.369 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/traffic_env.py:539(_start_new_simulation)
        1    0.002    0.002    0.320    0.320 /home/xingminw/Documents/plymouth-traffic-env/traffic_envs/utils.py:10(generate_new_route_configuration)
    29810    0.020    0.000    0.313    0.000 <__array_function__ internals>:2(diff)
    10104    0.007    0.000    0.287    0.000 <__array_function__ internals>:2(clip)
